Operation time,Number of operations,Rail point,c2_,c3_,c4_,c5_,sd_,alarms,c3a_,c3ao_
2.48,246.0,Sydney:SY631,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
2.38,626.0,Sydney:SY632,cluster 0,cluster 1,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
2.33,619.0,Sydney:SY633,cluster 0,cluster 1,cluster 2,cluster 4,2.0,12.0,cluster 0,cluster 0
2.16,48.0,Sydney:SY635,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.46,171.0,Sydney:SY636,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.17,254.0,Sydney:SY641,cluster 0,cluster 0,cluster 0,cluster 0,2.0,7.0,cluster 0,cluster 0
3.38,130.0,Sydney:SY642,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.86,145.0,Sydney:SY643,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
3.51,91.0,Sydney:SY644,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
2.89,517.0,Sydney:SY648,cluster 0,cluster 1,cluster 2,cluster 4,2.0,0.0,cluster 0,cluster 0
2.91,570.0,Sydney:SY649,cluster 0,cluster 1,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
2.92,573.0,Sydney:SY653,cluster 0,cluster 1,cluster 2,cluster 4,2.0,0.0,cluster 0,cluster 0
2.11,177.0,Sydney:SY654,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
2.47,45.0,Sydney:SY655,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
3.2,71.0,Sydney:SY656,cluster 0,cluster 0,cluster 0,cluster 0,2.0,7.0,cluster 0,cluster 0
3.05,79.0,Sydney:SY657,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
4.91,348.0,Sydney:SY658,cluster 0,cluster 0,cluster 2,cluster 4,2.0,8.0,cluster 0,cluster 0
7.06,451.0,Sydney:SY659,cluster 0,cluster 0,cluster 2,cluster 4,2.0,8.0,cluster 0,cluster 0
1.88,265.0,Sydney:SY660,cluster 0,cluster 0,cluster 0,cluster 0,2.0,16.0,cluster 0,cluster 0
2.29,537.0,Sydney:SY661,cluster 0,cluster 1,cluster 2,cluster 4,2.0,4.0,cluster 0,cluster 0
2.88,77.0,Sydney:SY662,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
1.92,127.0,Sydney:SY663,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
2.05,149.0,Sydney:SY664,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
2.3,166.0,Sydney:SY665,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
2.25,53.0,Sydney:SY666,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
2.77,463.0,Sydney:SY667,cluster 0,cluster 0,cluster 2,cluster 4,2.0,23.0,cluster 2,cluster 0
3.37,224.0,Sydney:SY668,cluster 0,cluster 0,cluster 0,cluster 0,2.0,22.0,cluster 2,cluster 0
2.87,554.0,Sydney:SY669,cluster 0,cluster 1,cluster 2,cluster 4,2.0,20.0,cluster 0,cluster 0
2.48,489.0,Sydney:SY670,cluster 0,cluster 1,cluster 2,cluster 4,2.0,36.0,cluster 2,cluster 0
3.37,68.0,Sydney:SY671,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
4.62,346.0,Sydney:SY850,cluster 0,cluster 0,cluster 2,cluster 4,2.0,8.0,cluster 0,cluster 0
5.94,17.0,Hornsby:C66,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
7.43,7.0,Hornsby:HR202,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.37,32.0,Hornsby:HY543,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
6.73,15.0,Hornsby:HY551,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.38,29.0,Hornsby:HY552,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
7.16,67.0,Hornsby:HY560,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
4.43,28.0,Lidcombe:AN634,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
7.33,12.0,Lidcombe:AN637,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 1
6.75,32.0,Mountains:SD104,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 0
6.77,30.0,Mountains:SD113,cluster 0,cluster 0,cluster 0,cluster 0,2.0,15.0,cluster 0,cluster 0
5.49,35.0,Strathfield:RS51,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
4.66,38.0,Strathfield:RS52,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
6.0,5.0,Strathfield:ST584,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 1
2.9,10.0,Sydney:SY250,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 1
2.46,192.0,Sydney:SY612,cluster 0,cluster 0,cluster 0,cluster 0,2.0,24.0,cluster 2,cluster 0
4.17,6.0,Granville:GE726,cluster 0,cluster 0,cluster 0,cluster 0,2.0,3.0,cluster 0,cluster 0
6.45,11.0,Hornsby:HY6B,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 1
5.75,20.0,Lidcombe:ST692,cluster 0,cluster 0,cluster 0,cluster 0,2.0,23.0,cluster 2,cluster 1
4.76,113.0,Lidcombe:AN603,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
7.92,120.0,Lidcombe:AN605,cluster 0,cluster 0,cluster 0,cluster 0,2.0,16.0,cluster 0,cluster 0
2.75,8.0,Sydney:SY647,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
4.67,12.0,Hornsby:C63,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
7.5,4.0,Hornsby:HR203,cluster 0,cluster 0,cluster 0,cluster 0,2.0,12.0,cluster 0,cluster 2
11.07,151.0,Lidcombe:ST644,cluster 0,cluster 0,cluster 0,cluster 0,2.0,44.0,cluster 2,cluster 0
6.03,60.0,Lidcombe:ST649,cluster 0,cluster 0,cluster 0,cluster 0,2.0,37.0,cluster 2,cluster 1
5.45,136.0,Lidcombe:ST650,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 0
4.85,13.0,Sydney:SY195,cluster 0,cluster 0,cluster 0,cluster 0,2.0,16.0,cluster 0,cluster 1
6.69,13.0,Granville:GE758,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
7.2,20.0,Hornsby:HR210,cluster 0,cluster 0,cluster 0,cluster 0,2.0,16.0,cluster 0,cluster 1
5.82,11.0,Lidcombe:ST689,cluster 0,cluster 0,cluster 0,cluster 0,2.0,11.0,cluster 0,cluster 1
2.64,11.0,Sydney:SY154,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 0
3.64,28.0,Sydney:SY163,cluster 0,cluster 0,cluster 0,cluster 0,2.0,5.0,cluster 0,cluster 0
7.55,11.0,Sydney:SY223,cluster 0,cluster 0,cluster 0,cluster 0,2.0,13.0,cluster 0,cluster 1
6.88,16.0,Hornsby:HR201,cluster 0,cluster 0,cluster 0,cluster 0,2.0,20.0,cluster 0,cluster 1
4.71,7.0,Strathfield:ST554,cluster 0,cluster 0,cluster 0,cluster 0,2.0,0.0,cluster 0,cluster 0
6.0,1.0,Mountains:KT106,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 2
2.8,5.0,Sydney:SY673,cluster 0,cluster 0,cluster 0,cluster 0,2.0,4.0,cluster 0,cluster 1
12.5,2.0,Strathfield:EG113,cluster 0,cluster 0,cluster 0,cluster 0,2.0,8.0,cluster 0,cluster 2
